frame,id,cx,cy,conf,x1,y1,x2,y2
5,26,1637,72,0.323,1617,16,1657,129
6,1,93,895,0.901,41,802,144,988
6,2,710,710,0.866,673,619,748,801
6,5,1191,997,0.862,1140,918,1243,1077
6,7,790,510,0.856,756,431,823,589
6,8,288,529,0.834,251,448,325,610
6,3,1453,794,0.818,1398,704,1508,884
6,9,955,253,0.799,925,185,984,322
6,4,1509,567,0.797,1470,486,1547,648
6,12,738,296,0.794,711,223,766,368
6,6,1172,556,0.775,1137,488,1207,623
6,13,601,350,0.718,572,284,630,416
6,10,1228,186,0.716,1203,118,1253,253
6,14,1491,406,0.708,1457,330,1526,482
6,28,1885,790,0.677,1852,712,1919,869
6,17,371,566,0.663,343,493,400,640
6,11,1191,209,0.596,1171,141,1211,277
6,29,421,592,0.555,387,513,455,671
6,16,119,189,0.497,94,130,144,248
6,21,242,90,0.481,216,32,269,149
6,33,484,576,0.473,451,509,516,643
6,20,822,136,0.458,798,74,845,199
6,18,872,131,0.455,852,65,892,196
6,19,920,147,0.436,899,86,941,209
6,15,1824,220,0.425,1794,154,1854,285
6,24,1114,105,0.407,1092,51,1135,158
6,27,1705,77,0.406,1677,15,1733,139
6,30,1728,236,0.382,1705,169,1750,302
6,34,391,73,0.336,365,13,417,133
6,26,1637,72,0.307,1617,16,1657,129
7,1,93,896,0.9,42,804,144,988
7,3,1451,796,0.887,1394,706,1507,886
7,2,711,706,0.884,674,614,748,798
7,5,1192,995,0.844,1140,912,1243,1078
7,7,789,506,0.838,757,428,821,585
7,9,954,254,0.802,925,185,984,322
7,12,739,295,0.776,709,223,768,368
7,31,1885,762,0.772,1852,667,1919,856
7,8,286,534,0.769,250,450,323,618
7,4,1510,568,0.749,1471,487,1549,649
7,6,1172,553,0.741,1138,485,1205,620
7,13,601,350,0.741,571,283,631,416
7,10,1228,184,0.668,1204,117,1253,252
7,14,1493,410,0.665,1458,332,1528,488
7,17,371,566,0.664,343,493,398,638
7,11,1193,202,0.563,1171,137,1215,267
7,16,119,189,0.558,94,130,144,248
7,21,244,90,0.503,217,32,271,149
7,18,871,130,0.497,851,64,891,195
7,19,921,143,0.496,900,81,943,205
7,20,820,135,0.49,798,73,843,198
7,29,422,602,0.457,388,533,456,671
7,33,485,576,0.42,454,509,516,643
7,15,1825,221,0.411,1794,156,1855,286
7,24,1114,105,0.396,1093,52,1135,159
7,22,597,258,0.349,572,211,621,304
7,34,393,71,0.32,366,10,420,132
7,27,1706,77,0.317,1678,14,1734,139
7,30,1729,237,0.309,1708,169,1750,305
7,26,1638,73,0.308,1618,16,1657,129
8,1,94,897,0.882,44,807,143,988
8,5,1189,989,0.879,1140,900,1239,1078
8,3,1446,797,0.871,1390,707,1501,887
8,2,712,702,0.862,674,606,749,797
8,7,787,503,0.831,757,424,816,581
8,9,954,255,0.801,923,187,985,323
8,8,286,545,0.799,247,457,325,633
8,31,1886,750,0.772,1852,661,1919,840
8,12,739,294,0.767,709,220,768,369
8,13,601,350,0.755,571,286,630,415
8,6,1170,549,0.746,1141,479,1200,618
8,17,371,566,0.688,343,493,399,639
8,4,1513,570,0.676,1473,491,1553,650
8,10,1229,185,0.637,1204,114,1253,256
8,14,1494,420,0.598,1459,339,1529,500
8,11,1193,200,0.579,1170,135,1215,264
8,16,119,188,0.52,93,129,144,247
8,18,870,130,0.511,850,64,891,195
8,21,251,88,0.502,223,28,279,147
8,29,422,600,0.5,389,530,455,671
8,20,821,134,0.486,799,72,843,197
8,19,924,139,0.464,903,77,944,202
8,15,1826,221,0.449,1795,155,1857,286
8,24,1115,107,0.416,1094,54,1135,161
8,33,485,575,0.405,454,509,515,642
8,22,597,258,0.397,573,214,621,301
8,23,1014,183,0.382,984,112,1044,253
8,26,1639,72,0.321,1619,16,1659,128
9,3,1444,796,0.895,1391,706,1498,886
9,5,1188,986,0.882,1139,894,1237,1078
9,1,95,898,0.877,45,808,144,988
9,2,711,701,0.871,673,605,749,796
9,7,787,501,0.83,757,421,816,581
9,9,953,255,0.817,923,187,984,323
9,8,285,550,0.799,246,461,325,638
9,12,739,292,0.77,710,217,768,368
9,13,601,351,0.756,571,286,630,416
9,31,1886,745,0.749,1852,652,1919,837
9,6,1169,548,0.698,1142,477,1197,618
9,17,371,566,0.683,342,493,399,639
9,14,1496,422,0.629,1460,342,1532,501
9,21,255,86,0.6,227,26,283,146
9,11,1194,198,0.554,1172,134,1216,262
9,16,118,188,0.554,93,129,144,247
9,18,870,128,0.532,849,65,890,192
9,4,1516,576,0.531,1479,493,1553,658
9,20,820,134,0.521,798,71,842,197
9,10,1230,182,0.52,1206,113,1254,251
9,29,420,592,0.489,387,514,454,669
9,15,1826,221,0.464,1795,156,1857,285
9,19,923,138,0.455,903,77,944,200
9,24,1115,107,0.414,1094,55,1136,160
9,23,1014,184,0.397,984,113,1043,254
9,26,1639,72,0.372,1620,16,1659,128
9,34,397,71,0.361,373,12,421,131
9,33,484,575,0.347,453,508,515,642
9,25,1609,71,0.342,1589,18,1628,124
10,3,1444,796,0.9,1392,706,1495,886
10,2,712,699,0.881,673,603,750,795
10,1,98,898,0.88,46,809,149,987
10,5,1187,981,0.871,1137,888,1237,1074
10,7,787,500,0.842,757,418,817,581
10,8,286,553,0.832,246,465,326,641
10,9,953,255,0.794,924,187,983,323
10,13,601,353,0.764,571,287,631,418
10,31,1885,743,0.745,1852,649,1919,837
10,12,739,291,0.736,710,216,768,366
10,6,1173,546,0.718,1142,474,1204,618
10,17,371,565,0.695,343,492,400,639
10,4,1517,583,0.66,1475,497,1558,670
10,21,259,85,0.632,230,25,288,145
10,14,1498,426,0.629,1464,346,1532,507
10,16,118,188,0.577,93,128,144,248
10,15,1826,220,0.556,1795,155,1858,284
10,18,870,127,0.535,849,64,890,191
10,11,1194,196,0.531,1172,133,1217,259
10,20,820,135,0.53,799,71,842,199
10,10,1230,182,0.513,1206,112,1254,252
10,19,924,136,0.503,903,75,945,197
10,23,1015,185,0.484,985,114,1045,255
10,29,420,592,0.465,387,515,453,669
10,33,484,575,0.394,453,508,515,641
10,24,1115,107,0.39,1094,54,1135,161
10,25,1609,71,0.384,1590,18,1628,124
10,26,1640,72,0.382,1620,16,1660,127
10,35,745,45,0.348,720,0,769,91
10,34,399,68,0.319,373,7,425,130
11,5,1184,977,0.88,1135,883,1234,1072
11,1,99,899,0.875,48,811,151,987
11,3,1442,797,0.873,1392,708,1493,886
11,2,712,696,0.871,673,597,751,794
11,7,786,499,0.844,757,416,816,581
11,8,287,554,0.836,247,464,328,644
11,9,953,255,0.809,924,188,982,323
11,4,1516,591,0.779,1475,502,1557,680
11,12,739,288,0.762,710,214,768,362
11,31,1885,741,0.755,1850,646,1919,836
11,14,1499,429,0.752,1464,348,1534,511
11,13,601,356,0.751,571,286,631,425
11,6,1174,545,0.724,1144,473,1204,618
11,17,371,565,0.693,343,489,400,640
11,21,263,84,0.615,233,25,292,143
11,16,118,188,0.604,93,128,143,248
11,15,1827,220,0.54,1796,156,1859,284
11,18,869,127,0.531,849,63,890,191
11,20,820,134,0.518,799,70,841,198
11,11,1195,193,0.512,1171,132,1219,255
11,19,924,137,0.507,903,78,945,195
11,29,420,590,0.49,388,511,452,668
11,10,1230,179,0.485,1207,108,1253,251
11,23,1014,185,0.434,985,115,1044,255
11,33,483,575,0.418,450,508,515,641
11,35,745,45,0.378,719,0,770,91
11,25,1610,72,0.378,1591,18,1629,125
11,26,1640,72,0.377,1620,16,1661,127
11,24,1114,107,0.376,1093,55,1136,160
12,5,1182,975,0.89,1133,878,1232,1072
12,2,712,693,0.868,673,595,750,792
12,8,287,559,0.856,246,468,328,649
12,1,103,899,0.842,48,812,157,987
12,3,1438,797,0.837,1389,709,1486,886
12,7,785,498,0.832,757,415,814,581
12,9,953,256,0.819,924,189,982,323
12,4,1518,594,0.803,1477,504,1559,683
12,31,1884,740,0.782,1850,644,1919,835
12,13,601,357,0.753,571,285,631,429
12,6,1176,545,0.744,1145,472,1207,617
12,12,739,285,0.742,709,209,770,361
12,17,372,565,0.682,343,489,400,640
12,16,118,188,0.664,93,127,143,248
12,14,1499,433,0.639,1464,351,1534,515
12,21,265,83,0.563,235,24,294,143
12,18,869,127,0.522,848,63,890,190
12,20,819,133,0.517,799,69,839,198
12,11,1195,191,0.509,1170,128,1220,253
12,19,925,134,0.509,904,75,946,193
12,15,1828,220,0.494,1798,156,1859,284
12,23,1014,184,0.485,985,114,1044,255
12,29,420,592,0.42,386,517,453,666
12,10,1230,177,0.409,1207,105,1252,249
12,33,483,574,0.384,451,508,514,641
12,24,1114,107,0.357,1093,54,1136,159
12,34,400,64,0.33,376,3,425,124
12,25,1610,72,0.316,1592,18,1629,126
12,35,746,45,0.309,720,0,771,90
12,26,1640,71,0.305,1619,16,1661,126
13,5,1178,971,0.884,1129,871,1227,1071
13,3,1432,799,0.867,1388,712,1475,886
13,2,711,685,0.859,673,586,749,784
13,7,785,493,0.822,757,409,814,577
13,9,953,258,0.816,924,190,981,326
13,8,286,566,0.809,247,476,326,656
13,6,1178,541,0.805,1145,467,1210,615
13,4,1521,600,0.797,1480,511,1563,689
13,14,1503,437,0.772,1467,354,1539,520
13,12,738,279,0.766,709,204,768,353
13,31,1883,736,0.76,1847,639,1918,833
13,1,108,901,0.74,50,816,166,987
13,17,370,565,0.686,340,490,400,641
13,16,116,187,0.683,92,127,141,247
13,13,601,359,0.669,571,285,631,433
13,21,269,80,0.574,240,22,298,139
13,11,1194,188,0.56,1169,125,1218,252
13,15,1829,224,0.535,1799,159,1860,289
13,18,869,126,0.499,848,62,890,189
13,23,1014,184,0.491,985,114,1044,254
13,10,1228,171,0.488,1204,103,1251,239
13,20,819,130,0.485,800,67,838,194
13,19,925,134,0.41,905,77,945,191
13,22,599,264,0.408,575,217,623,311
13,33,480,574,0.404,448,507,513,640
13,29,420,596,0.394,387,525,453,666
13,30,1739,231,0.367,1704,158,1773,303
13,34,399,59,0.363,375,0,424,117
13,26,1639,71,0.34,1616,16,1662,126
13,35,746,43,0.336,720,0,772,86
13,24,1114,109,0.333,1092,57,1135,161
14,5,1177,969,0.881,1129,867,1225,1070
14,3,1429,799,0.863,1388,712,1470,886
14,2,711,680,0.862,673,581,748,780
14,6,1178,538,0.822,1146,464,1210,612
14,4,1523,603,0.817,1481,514,1565,692
14,7,785,491,0.812,756,407,814,575
14,9,952,261,0.809,924,191,980,332
14,1,115,901,0.8,51,816,180,986
14,31,1884,735,0.784,1848,636,1919,833
14,8,285,568,0.784,246,479,325,656
14,12,736,274,0.746,708,202,765,346
14,14,1505,438,0.74,1470,355,1540,520
14,13,600,360,0.734,570,283,630,437
14,16,116,186,0.669,91,127,141,246
14,17,369,566,0.655,340,490,399,642
14,21,270,80,0.606,242,21,299,138
14,15,1830,227,0.599,1800,161,1860,294
14,11,1192,188,0.554,1168,123,1216,252
14,18,869,125,0.507,848,62,890,189
14,10,1228,169,0.473,1204,101,1252,236
14,20,819,129,0.471,800,66,838,193
14,23,1014,185,0.413,985,116,1043,254
14,29,419,594,0.406,386,522,452,666
14,19,926,134,0.399,905,76,946,192
14,33,480,573,0.397,447,507,512,639
14,24,1113,112,0.343,1090,58,1136,165
14,34,402,58,0.337,380,1,423,115
14,26,1639,71,0.333,1616,16,1663,126
14,30,1738,234,0.321,1702,160,1775,308
14,22,600,265,0.321,575,218,625,312
15,5,1175,966,0.898,1127,862,1222,1071
15,2,709,676,0.863,673,577,746,775
15,3,1425,798,0.828,1385,712,1466,885
15,4,1523,604,0.828,1482,516,1564,693
15,7,784,486,0.808,755,401,814,571
15,1,118,902,0.807,53,818,184,986
15,31,1877,732,0.798,1835,632,1919,833
15,9,952,264,0.785,924,192,980,336
15,6,1179,536,0.772,1147,461,1211,610
15,8,283,569,0.77,243,483,324,656
15,12,736,270,0.756,708,199,764,342
15,13,600,362,0.72,570,285,630,438
15,14,1507,440,0.692,1472,358,1543,521
15,16,116,186,0.674,91,126,141,246
15,17,368,566,0.639,339,489,397,643
15,15,1831,231,0.623,1801,164,1860,297
15,21,272,75,0.583,245,17,299,134
15,18,867,125,0.527,846,60,889,190
15,20,818,129,0.49,799,66,837,192
15,11,1194,189,0.483,1171,123,1218,254
15,10,1228,167,0.472,1204,100,1251,233
15,29,419,591,0.472,385,516,452,666
15,30,1735,244,0.456,1703,175,1768,314
15,34,401,56,0.421,379,0,423,112
